127.0.0.1 - - [07/May/2019 16:17:11] "GET /cameraSim/Location1.png HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2019 16:18:14] "GET /lock_screen.html HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2019 16:18:14] "GET /stylesheet.css HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2019 16:18:14] "GET /entrypoint.js HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2019 16:18:14] "GET /img/fingerprint.png HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2019 16:18:14] "GET /img/bg.jpg HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2019 16:18:14] "GET /img/comments.png HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2019 16:18:14] "GET /img/shareIcon.png HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2019 16:18:14] "GET /img/locationpin.png HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2019 16:18:14] "GET /img/heart.png HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2019 16:18:14] "GET /img/ReverseAppIcon.png HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2019 16:18:14] "GET /img/cameraIcon.png HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2019 16:18:14] "GET /img/stddImg.png HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2019 16:18:14] "GET /img/next.png HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2019 16:18:14] "GET /img/takePictureIcon.png HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2019 16:18:14] "GET /img/findIcon.jpg HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2019 16:18:14] "GET /img/lockIcon.png HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2019 16:18:14] "GET /img/GPSIcon.png HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2019 16:18:14] "GET /img/contacts.png HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2019 16:18:14] "GET /js-libs/page.js HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2019 16:18:14] "GET /js-libs/post.js HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2019 16:18:14] "GET /js-libs/anime-service.js HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2019 16:18:14] "GET /js-libs/swipe.js HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2019 16:18:14] "GET /js-libs/pin.js HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2019 16:18:14] "GET /js-libs/date.js HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2019 16:18:14] "GET /js-libs/keyboard.js HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2019 16:18:14] "GET /js-libs/_colors.js HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2019 16:18:14] "GET /js-libs/anime-master/lib/anime.es.js HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2019 16:18:31] "GET /lock_screen.html HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2019 16:18:31] "GET /stylesheet.css HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2019 16:18:31] "GET /entrypoint.js HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2019 16:18:31] "GET /img/comments.png HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2019 16:18:31] "GET /img/bg.jpg HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2019 16:18:31] "GET /img/shareIcon.png HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2019 16:18:31] "GET /img/fingerprint.png HTTP/1.1" 200 -
127.0.0.1 - - [07/May/2019 16:18:31] "GET /img/locationpin.png HTTP/1.1" 200 -
